Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
Anupama Parameswaran’s Facebook account gets hacked; the actress slams the hacker for morphing her photos,Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,,Facebook,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/anupama-parameswarans-facebook-account-gets-hacked-the-actress-slams-the-hacker-for-morphing-her-photos/articleshow/75105063.cms
Average Twitter users may receive up to 17 'dangerous' Tweets per day,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Spam,,Twitter,https://www.telegraph.co.uk/technology/mobile-phones/8441294/Smart-phones-undermining-parental-tabs-oInfluential Groupnternet-use.html
"Bots, Denial of Service Are Latest Weapons in Net Neutrality Battle",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,,Online,https://www.wsj.com/articles/bots-denial-of-service-are-latest-weapons-in-net-neutrality-battle-1494533379
Chief economic advisor’s Twitter account gets hacked,Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,,Twitter,https://www.hindustantimes.com/nation-newspaper/chief-economic-advisor-s-twitter-account-gets-hacked/story-SftmO6yAOAxNjwOtfwqqBP.html
Dutch Man Said to Be Held in Powerful Internet Attack,Regular Individual->Influential Individual,Regular Individual,Influential Individual,Scaled Abuse_Hacking,Legal Action,Online,https://www.nytimes.com/2013/04/27/technology/dutch-man-said-to-be-arrested-in-powerful-internet-attack.html
Exclusive: Ayli Ghiya's Instagram account hacked; vulgar messages sent to followers,Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Hacking,,Instagram,https://timesofindia.indiatimes.com/entertainment/marathi/movies/news/exclusive-ayli-ghiyas-instagram-account-hacked-vulgar-messages-sent-to-followers/articleshow/77576078.cms
"Facebook gives $1,000 in ad credits for counter terror propaganda",Influential Individual->Social Media Platform,Influential Individual,Social Media Platform,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.washingtonpost.com/local/education/is-a-history-textbook-full-of-sugar-coated-lies-because-it-celebrates-minorities/2016/03/11/54590e80-e7b3-11e5-a6f3-21ccdbc5f74e_story.html
Facebook Says Hackers Breached Its Computers,Regular Group->Social Media Platform,Regular Group,Social Media Platform,Scaled Abuse_Hacking,,Facebook,https://archive.nytimes.com/bits.blogs.nytimes.com/2013/02/15/facebook-admits-it-was-hacked/
Fake Facebook accounts mar debate on Philippine anti-terror bill,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Protective Measures,Facebook,https://www.thestar.com.my/aseanplus/aseanplus-news/2020/06/07/fake-facebook-accounts-mar-debate-on-philippine-anti-terror-bill#goog_rewarded
"In French Elections, Alt-Right Messages and Memes Don‚Äôt Translate",Influential Group->Regular Group,Influential Group,Regular Group,Scaled Abuse_Inauthentic Behavior,,4chan,https://www.nytimes.com/2017/05/04/technology/french-elections-alt-right-fake-news-le-pen-macron.html
IRS Says Cyberattacks More Extensive Than Previously Reported,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Hacking,,Get Transcript,https://www.wsj.com/articles/irs-says-cyberattacks-more-extensive-than-previously-reported-1439834639
LinkedIn pages that promise prurient pics link to malware,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Malware,,LinkedIn,https://www.computerworld.com/article/1710092/linkedin-pages-that-promise-prurient-pics-link-to-malware.html?utm=hybrid_search
Online: Incredible bulk: Danny O'Brien mingles among the arch spammers and explains the new ways to track down serial offenders,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Spam,Legal Action,Online,https://www.theguardian.com/technology/2004/apr/08/spam.internet
Several groups banned by Facebook had strong similarities to Twitter accounts linked to Russia six weeks ago,Influential Individual->Regular Group,Influential Individual,Regular Group,Scaled Abuse_Inauthentic Behavior,Platform Ban,Facebook,https://www.washingtonpost.com/technology/2018/08/04/several-groups-banned-by-facebook-had-strong-similarities-twitter-accounts-linked-russia-six-weeks-ago/
The Daily 202: Technology giants face big test in midterm elections,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Platform Ban,"Facebook, Twitter, Google",https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2018/10/08/daily-202-technology-giants-face-big-test-in-midterm-elections/5bba75ea1b326b7c8a8d1886/
Twitter hackers spread Ground Zero attack scare before account suspension,Regular Group->Influential Individual,Regular Group,Influential Individual,Scaled Abuse_Inauthentic Behavior,"Misinformation led to action, Address Misinformation",Twitter,https://www.theguardian.com/world/2011/sep/10/twitter-hackers-ground-zero-scare
Twitter shut as hackers bombard it with spam,Regular Group->Social Media Platform,Regular Group,Social Media Platform,Scaled Abuse_Spam,,Twitter,https://timesofindia.indiatimes.com/world/us/twitter-shut-as-hackers-bombard-it-with-spam/articleshow/4865236.cms
Twitter Suspends Some Accounts Backing Michael Bloomberg,Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Remove Content,Twitter,https://www.wsj.com/articles/twitter-suspends-some-accounts-backing-michael-bloomberg-11582404989
